user_id,benefit_id,rating,timestamp
0,2,0.7,2005-04-02 23:53:47
0,15,0.7,2005-04-02 23:32:07
0,16,0.7,2005-04-02 23:29:40
0,24,0.7,2004-09-10 03:09:00
0,42,0.8,2005-04-02 23:33:46
0,47,0.8,2005-04-02 23:31:43
0,48,0.8,2005-04-02 23:32:47
0,50,0.8,2005-04-02 23:33:18
0,62,0.7,2005-04-02 23:53:00
0,92,0.8,2005-04-02 23:30:03
0,110,0.6,2004-09-10 03:08:11
0,146,0.7,2005-04-02 23:53:33
0,158,0.7,2005-04-02 23:42:55
0,160,0.7,2005-04-02 23:31:09
0,164,0.8,2005-04-02 23:48:21
0,171,0.7,2005-04-02 23:30:09
0,175,0.7,2005-04-02 23:31:30
0,187,0.8,2004-09-10 03:14:42
0,201,0.8,2005-04-02 23:43:02
0,205,0.8,2004-09-10 03:13:14
0,206,0.8,2005-04-02 23:44:00
0,207,0.7,2004-09-10 03:15:13
0,208,0.7,2005-04-02 23:32:15
0,210,0.8,2005-04-02 23:42:51
0,215,0.8,2004-09-10 03:13:06
0,219,0.6,2004-09-10 03:08:40
0,221,0.8,2004-09-10 03:14:22
0,224,0.8,2005-04-02 23:36:30
0,227,0.7,2004-09-10 03:14:16
0,235,0.8,2004-09-10 03:09:06
0,250,0.6,2005-04-02 23:55:50
0,254,0.7,2004-09-10 03:07:36
0,299,0.8,2005-04-02 23:52:09
0,310,0.8,2005-04-02 23:52:35
0,315,0.8,2004-09-10 03:14:52
0,317,0.8,2005-04-02 23:49:49
0,318,0.8,2005-04-02 23:48:25
0,323,0.8,2005-04-02 23:50:43
0,325,0.7,2005-04-02 23:44:46
0,329,0.8,2004-09-10 03:14:37
0,330,0.8,2004-09-10 03:09:37
0,349,0.8,2005-04-02 23:44:07
0,360,0.7,2005-04-02 23:36:34
0,367,0.7,2004-09-10 03:07:30
0,368,0.7,2005-04-02 23:32:29
0,376,0.8,2005-04-02 23:42:47
0,380,0.7,2005-04-02 23:43:34
0,384,0.8,2005-04-02 23:48:17
0,390,0.7,2005-04-02 23:46:20
0,394,0.8,2004-09-10 03:08:18
0,395,0.8,2005-04-02 23:50:25
0,409,0.8,2005-04-02 23:50:16
0,416,0.8,2005-04-02 23:48:54
0,418,0.8,2005-04-02 23:35:18
0,425,0.8,2005-04-02 23:55:38
0,433,0.6,2004-09-10 03:16:12
0,438,0.8,2005-04-02 23:43:26
0,440,0.7,2004-09-10 03:15:04
0,443,0.7,2005-04-02 23:28:13
0,446,0.8,2005-04-02 23:50:22
0,451,0.8,2005-04-02 23:48:51
0,452,0.8,2005-04-02 23:52:41
0,453,0.6,2005-04-02 23:54:36
0,457,0.8,2005-04-02 23:50:58
0,458,0.8,2005-04-02 23:51:38
0,462,0.8,2005-04-02 23:55:04
0,463,0.8,2005-04-02 23:51:45
0,464,0.7,2004-09-10 03:15:08
0,467,0.7,2005-04-02 23:53:22
0,468,1.0,2005-04-02 23:30:19
0,470,0.8,2005-04-02 23:48:33
0,472,0.8,2005-04-02 23:45:02
0,473,0.7,2004-09-10 03:14:08
